TRADEDATE,CLOSE,VOLUME
2013-03-25,98.79,593680
2013-03-26,97.2,1283550
2013-03-27,96.75,1261950
2013-03-28,98.59,1971410
2013-03-29,98.76,782000
2013-04-01,98.07,2279650
2013-04-02,98.93,3555020
2013-04-03,99.59,3757240
2013-04-04,99.91,5172930
2013-04-05,99.38,5229210
2013-04-08,100.43,5080400
2013-04-09,102.53,6539720
2013-04-10,100.56,6477440
2013-04-11,100.31,9738330
2013-04-12,98.34,8770130
2013-04-15,95.48,9476270
2013-04-16,95.92,8746220
2013-04-17,94.58,12318170
2013-04-18,95.35,11438210
2013-04-19,96.22,10456040
2013-04-22,95.1,8487550
2013-04-23,96.46,9918070
2013-04-24,97.89,10809260
2013-04-25,96.11,17508370
2013-04-26,95.6,12505810
2013-04-29,94.83,9543700
2013-04-30,99.3,9242730
2013-05-02,100.84,8247370
2013-05-03,102.92,6583590
2013-05-06,102.28,5184770
2013-05-07,105.14,7598890
2013-05-08,105.81,7983670
2013-05-10,103.78,7276960
2013-05-13,103.34,8107650
2013-05-14,103.84,13107770
2013-05-15,103.22,8940580
2013-05-16,102.45,4241390
2013-05-17,105.17,5862860
2013-05-20,106.49,5986790
2013-05-21,108.9,7682260
2013-05-22,110.73,12471940
2013-05-23,105.61,10928200
2013-05-24,102.97,17144980
2013-05-27,102.86,9630270
2013-05-28,104.0,8500810
2013-05-29,99.9,13256870
2013-05-30,99.98,16543730
2013-05-31,99.0,17383700
2013-06-03,98.8,16609480
2013-06-04,98.71,7214140
2013-06-05,97.5,11474200
2013-06-06,96.91,9679300
2013-06-07,98.92,12679660
2013-06-10,97.9,10230620
2013-06-11,94.7,15916610
2013-06-13,91.85,17814630
2013-06-14,93.64,12751180
2013-06-17,95.74,12357410
2013-06-18,96.36,9357570
2013-06-19,94.63,8536010
2013-06-20,91.56,12178180
2013-06-21,91.24,12067320
2013-06-24,88.66,10446770
2013-06-25,89.74,8425930
2013-06-26,92.67,8379260
2013-06-27,93.2,9403380
2013-06-28,93.5,9615000
2013-07-01,95.4,7557200
2013-07-02,94.59,5917590
2013-07-03,93.18,6582450
2013-07-04,94.0,7533240
2013-07-05,93.3,10199020
2013-07-08,93.0,6539950
2013-07-09,92.41,5403870
2013-07-10,91.03,7726190
2013-07-11,95.55,10015130
2013-07-12,98.4,12641780
2013-07-15,99.87,13124880
2013-07-16,99.35,10637740
2013-07-17,101.11,7595970
2013-07-18,98.47,16686810
2013-07-19,99.9,18103710
2013-07-22,97.82,12091270
2013-07-23,96.97,9312920
2013-07-24,96.16,18586270
2013-07-25,95.78,12669090
2013-07-26,94.76,7874710
2013-07-29,94.17,7598660
2013-07-30,94.13,6955980
2013-07-31,95.3,10145400
2013-08-01,96.95,7567370
2013-08-02,96.98,9822160
2013-08-05,96.25,5124110
2013-08-06,94.72,7514500
2013-08-07,94.48,8209740
2013-08-08,94.09,9466140
2013-08-09,95.7,9079150
2013-08-12,96.22,8553960
2013-08-13,97.4,9427240
2013-08-14,98.07,10053300
2013-08-15,95.31,20310500
2013-08-16,93.8,12709740
2013-08-19,93.66,13349120
2013-08-20,91.74,13056740
2013-08-21,90.52,16134210
2013-08-22,92.28,16084620
2013-08-23,91.9,10351540
2013-08-26,91.25,7768500
2013-08-27,90.16,9475660
2013-08-28,89.4,16377380
2013-08-29,89.68,12086030
2013-08-30,88.15,13959510
2013-09-02,89.48,46206200
2013-09-03,90.45,87953920
2013-09-04,90.33,52920680
2013-09-05,92.78,113375290
2013-09-06,92.47,167514290
2013-09-09,94.81,127372070
2013-09-10,96.55,118417470
2013-09-11,95.5,68867470
2013-09-12,95.53,80569980
2013-09-13,95.82,57993190
2013-09-16,98.97,112092070
2013-09-17,99.6,69417120
2013-09-18,99.79,109579560
2013-09-19,102.33,160727340
2013-09-20,102.36,80174540
2013-09-23,101.82,79846990
2013-09-24,100.5,81642090
2013-09-25,101.95,76053110
2013-09-26,101.67,74163010
2013-09-27,98.59,90396330
2013-09-30,97.86,71124930
2013-10-01,99.16,74492480
2013-10-02,97.74,79877890
2013-10-03,98.24,77836460
2013-10-04,100.39,81230790
2013-10-07,100.3,84643630
2013-10-08,102.11,113584170
2013-10-09,101.48,99305220
2013-10-10,103.43,111791100
2013-10-11,102.87,91915670
2013-10-14,102.93,66291240
2013-10-15,104.55,103099720
2013-10-16,104.05,84614620
2013-10-17,103.33,83012030
2013-10-18,105.14,115501360
2013-10-21,105.43,63746540
2013-10-22,105.4,71694660
2013-10-23,103.29,78066510
2013-10-24,102.86,68751720
2013-10-25,102.99,78521210
2013-10-28,102.84,71025060
2013-10-29,102.8,65077430
2013-10-30,103.11,82968330
2013-10-31,102.74,87954830
2013-11-01,103.65,62858850
2013-11-05,102.47,61356730
2013-11-06,102.59,66133090
2013-11-07,103.55,76238840
2013-11-08,101.86,89014360
2013-11-11,101.77,53096350
2013-11-12,104.25,112492620
2013-11-13,101.81,135946290
2013-11-14,103.7,93686490
2013-11-15,103.69,96819500
2013-11-18,105.5,92184970
2013-11-19,106.19,100547410
2013-11-20,106.0,79936140
2013-11-21,104.78,77524160
2013-11-22,105.1,70239230
2013-11-25,105.31,72178650
2013-11-26,103.02,93845310
2013-11-27,102.77,80453800
2013-11-28,102.69,64879430
2013-11-29,103.07,79612660
2013-12-02,102.36,61527830
2013-12-03,100.24,123406320
2013-12-04,98.95,96070960
